afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort
9209,244732,,1,2023-05-30 00:00:00,17,94805,3,L 85,Forslag til lov om undersøgelse af beslutningen om hjemsendelse af ledende medarbejdere i Forsvarets Efterretningstjeneste.,Om undersøgelse af beslutningen om hjemsendelse af ledende medarbejdere i Forsvarets Efterretningstjeneste.
9210,245559,,1,2023-05-30 00:00:00,17,95034,3,L 113,Forslag til ejendomsskattelov.,Om ejendomsskat.
9211,245533,,1,2023-05-30 00:00:00,17,95032,3,L 114,"Forslag til lov om ændring af kildeskatteloven, lov om kommunal indkomstskat, ejendomsvurderingsloven og forskellige andre love. (Opkrævning og inddrivelse af grundskyld og dækningsafgift m.v., statens afregning af grundskyld og dækningsafgift til kommunerne, foreløbige vurderinger som midlertidigt beskatningsgrundlag i 2024 og 2025, forenkling af ejendomsvurderingerne for 2024 og 2025, udvidelse af antallet af dommere i Landsskatteretten m.v.).",Om opfølgning på forlig om tryghed om boligbeskatningen og aftalen om kompensation til boligejerne og fortsat tryghed om boligbeskatningen.
9212,243642,,1,2023-05-30 10:00:00,17,94560,3,L 62,Forslag til lov om ændring af jernbaneloven og lov om DSB. (Revision af visse regler på jernbaneområdet).,Om revision af visse regler på jernbaneområdet.
9258,245155,,1,2023-06-01 00:00:00,17,94883,3,L 107,Forslag til lov om ændring af lov for Grønland om kapitalkrav og tilsynsmæssige krav for kreditinstitutter og investeringsselskaber. (Gennemførelse for Grønland af visse ændringsforordninger til forordning (EU) nr. 575/2013 om tilsynsmæssige krav til kreditinstitutter og investeringsselskaber).,Om at sætte ændringer af kapitalkravsforordningen i kraft for Grønland.
9259,244888,,1,2023-06-01 00:00:00,17,94817,3,L 88,"Forslag til lov om forsikringsvirksomhed i tværgående pensionskasser, livsforsikringsselskaber og skadesforsikringsselskaber m.v. (lov om forsikringsvirksomhed).",Om forsikringsvirksomhed.
9260,245611,,1,2023-06-01 00:00:00,17,95038,3,L 118,Forslag til lov om ændring af årsregnskabsloven. (Implementering af Europa-Parlamentets og Rådets direktiv (EU) 2021/2101 for så vidt angår offentliggørelse af selskabsskatteoplysninger for visse virksomheder og filialer m.v.).,Om direktivimplementering af offentliggørelse af selskabsskatteoplysninger for visse virksomheder og filialer m.v.
9261,244836,,1,2023-06-01 00:00:00,17,94813,3,L 73,"Forslag til lov om ændring af kildeskatteloven, selskabsskatteloven, kulbrinteskatteloven og ligningsloven. (Indførelse af begrænset skattepligt ved udøvelse af visse aktiviteter i Danmarks eksklusive økonomiske zone, anvendelse af kulbrinteanlæg m.v. i forbindelse med lagring af CO2 og ændring af listen over lande, der er omfattet af defensive foranstaltninger).","Om indførelse af begrænset skattepligt ved udøvelse af visse aktiviteter i Danmarks eksklusive økonomiske zone, anvendelse af kulbrinteanlæg m.v. "
9262,244810,,1,2023-06-01 00:00:00,17,94811,3,L 74,Forslag til lov om vejafgift.,Om vejafgift.
9263,244797,,1,2023-06-01 00:00:00,17,94810,3,L 75,"Forslag til lov om ændring af momsloven, chokoladeafgiftsloven, skattekontrolloven og forskellige andre love og om ophævelse af lov om ændring af momsloven. (Indberetning af betalingsoplysninger til bekæmpelse af grænseoverskridende momssvig, omvendt betalingspligt for teleydelser, notifikationsordning i visse afgiftslove, ændring af regler om ansvarsfrihed, tydeliggørelse af praksis om skærpede bøder, oplysningspligt i forbindelse med delvis momsfradragsret, justering af regler om udtagning, fritagelse for lønsumsafgift på energivirksomheders aktiviteter vedrørende indefrysning i forbindelse med indefrysningsordning for høje energiregninger, ændring af regler om kompetence til opkrævning af visse underholdsbidrag m.v.).",Om indberetning af betalingsoplysninger til bekæmpelse af grænseoverskridende momssvig m.v.
9264,244416,,1,2023-06-01 00:00:00,17,94713,3,L 70,Forslag til lov om ændring af lov om vagtvirksomhed. (Etablering af en forsøgsordning med kommunale tryghedsvagter m.v.).,Om etablering af en forsøgsordning med kommunale tryghedsvagter m.v.
9265,244745,,1,2023-06-01 00:00:00,17,94806,3,L 86,Forslag til lov om ændring af lov om sikkerhed ved bestemte idrætsbegivenheder. (Styrket indsats mod hooliganisme).,Om styrket indsats mod hooliganisme.
9266,244784,,1,2023-06-01 00:00:00,17,94809,3,L 87,"Forslag til lov om ændring af lov om indsamling m.v. (Ændring af Indsamlingsnævnets sammensætning, øgede kontrolmuligheder m.v.).","Om ændring af Indsamlingsnævnets sammensætning, øgede kontrolmuligheder m.v."
9267,244823,,1,2023-06-01 00:00:00,17,94812,3,L 96,Forslag til lov om Kulturens Analyseinstitut.,Om Kulturens Analyseinstitut.
9268,244862,,1,2023-06-01 00:00:00,17,94815,3,L 97,"Forslag til lov om ændring af lov om videregående kunstneriske uddannelsesinstitutioner under Kulturministeriet, lov om scenekunst og lov om Statens Kunstfonds virksomhed. (Ny styringsform på institutionerne, udpegning til Det Kongelige Teaters bestyrelse og digitale ansøgninger).",Om ny styringsform på institutionerne og udpegning til Det Kongelige Teaters bestyrelse m.v.
9269,245838,,1,2023-06-01 00:00:00,17,95135,3,L 125,Forslag til lov om ændring af lov om ophavsret. (Gennemførelse af dele af direktiv om ophavsret og beslægtede rettigheder på det digitale indre marked).,Om gennemførelse af dele af direktiv om ophavsret og beslægtede rettigheder på det digitale indre marked.
9270,245663,,1,2023-06-01 00:00:00,17,95042,3,L 116,Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Fritagelse for fradrag i efterløn for arbejde i sundhedsvæsenet i 2023 og 2024).,Om fritagelse for fradrag i efterløn for arbejde i sundhedsvæsenet i 2023 og 2024.
9272,245598,,1,2023-06-01 00:00:00,17,95037,3,L 123,Forslag til lov om ændring af lov om tobaksvarer m.v. og forskellige andre love. (Implementering af dele af delegeret direktiv vedrørende opvarmede tobaksvarer m.v.).,Om delimplementering af delegeret direktiv vedrørende opvarmede tobaksvarer m.v.
9273,244600,,1,2023-06-01 00:00:00,17,94794,3,L 80,"Forslag til lov om ændring af lov om etablering og benyttelse af en rørledning til transport af råolie og kondensat, lov om kontinentalsoklen og visse rørledningsanlæg på søterritoriet og lov om anvendelse af Danmarks undergrund. (Godkendelse af ændringer og afvikling af rørledningen, krav om effektiv drift, gennemførelse af direktiver om naturbeskyttelse, bemyndigelse vedrørende forbud mod rutinemæssig afbrænding af kulbrinter, tilladelse til forundersøgelser for visse rørledningsanlæg m.v.).",Om ændringer og afvikling af rørledningen til transport af råolie fra Nordsøen m.v.
9274,244665,,1,2023-06-01 00:00:00,17,94799,3,L 91,"Forslag til lov om ændring af lov om velfærdsaftaler på ældreområdet. (Justering af skriftlighedskrav og mulighed for forsøg med selvvisitation til tilbud, der træder i stedet for madservice).","Om forsøg med selvvisitation til tilbud, der træder i stedet for madservice."
9275,244639,,1,2023-06-01 00:00:00,17,94797,3,L 92,Forslag til lov om ændring af lov om social service. (Genindførelse af ordning med obligatorisk opfølgnings- og læringsforløb efter påbud fra Styrelsen for Patientsikkerheds Ældretilsyn).,Om genindførelse af ordning med obligatorisk opfølgnings- og læringsforløb efter påbud fra Styrelsen for Patientsikkerheds Ældretilsyn.
9276,245168,,1,2023-06-01 00:00:00,17,94884,3,L 108,Forslag til lov om ændring af lov om almene boliger m.v. og lov om leje af almene boliger. (Tilskud til midlertidig huslejenedsættelse i visse almene boligafdelinger).,Om tilskud til midlertidig huslejenedsættelse i visse almene boligafdelinger.
9277,245637,,1,2023-06-01 00:00:00,17,95040,3,L 119,Forslag til lov om ændring af lov om forsøg med et socialt frikort. (Forlængelse af forsøg med et socialt frikort og forhøjelse af beløbsgrænsen).,Om forlængelse af forsøg med et socialt frikort og forhøjelse af beløbsgrænsen.
9278,245624,,1,2023-06-01 00:00:00,17,95039,3,L 120,Forslag til lov om ændring af lov om social service. (Ophævelse af aldersgrænsen og dispensationsadgangen i ordningen med kontant tilskud til ansættelse af hjælpere til overvågning og støtte i forbindelse hermed om natten).,Om ophævelse af aldersgrænsen og dispensationsadgangen i ordningen med kontant tilskud til ansættelse af hjælpere til overvågning og støtte om natten.
9301,245903,,1,2023-06-02 00:00:00,17,95140,3,L 124,Forslag til lov om opsigelse af dobbeltbeskatningsoverenskomst mellem Danmark og Rusland og gennemførelse af defensive foranstaltninger mod Rusland.,Om opsigelse af dobbeltbeskatningsoverenskomst mellem Danmark og Rusland.
9302,245585,,1,2023-06-02 00:00:00,17,95036,3,L 121,Forslag til lov om ændring af lov om ungdomsuddannelse for unge med særlige behov. (Flere rettigheder og bedre tilrettelæggelse af særligt tilrettelagt ungdomsuddannelse m.v.).,Om flere rettigheder og bedre tilrettelæggelse af særligt tilrettelagt ungdomsuddannelse m.v.
9303,245520,,1,2023-06-02 09:00:00,17,95031,3,L 115,"Forslag til lov om ændring af lov om miljøbeskyttelse, lov om varmeforsyning, lov om elforsyning og selskabsskatteloven. (Ny organisering af affaldsforbrændingssektoren og konkurrenceudsættelse af forbrændingsegnet affald).",Om ny organisering af affaldsforbrændingssektoren og konkurrenceudsættelse af forbrændingsegnet affald.
9304,245890,,1,2023-06-02 00:00:00,17,95139,3,L 128,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om sygedagpenge og barselsloven. (Genindførelse af ret til uddannelsesløft med forhøjet dagpengesats på 110 pct. i 2023).",Om genindførsel af ret til uddannelsesløft med forhøjet dagpengesats på 110 pct. i 2023.
9305,245877,,1,2023-06-02 00:00:00,17,95138,3,L 129,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om organisering og understøttelse af beskæftigelsesindsatsen m.v., lov om arbejdsløshedsforsikring m.v. og lov om aktiv socialpolitik. (Øget ansvar til arbejdsløshedskasser for kontaktforløbet i de første 3 måneder, et forenklet kontaktforløb m.v., permanentgørelse af forsøg om jobrettet indsats til unge, forenkling af krav til vejledning m.v.).",Om opfølgning på anden delaftale om nytænkning af beskæftigelsesindsatsen.
9306,245864,,1,2023-06-02 09:00:00,17,95137,3,L 126,Forslag til lov om ændring af lov om likviditetslån m.v. i forbindelse med indefrysningsordning for høje energiregninger og til energiintensive virksomheder m.v. (Justering af likviditetslåneordningen).,Om indefrysningsordning for høje energiregninger og til energiintensive virksomheder m.v.
9307,245851,,1,2023-06-02 09:00:00,17,95136,3,L 127,"Forslag til lov om ændring af investeringsscreeningsloven og lov om Klagenævnet for Udbud. (Udvidet screening af kontrakter vedrørende etablering, medejerskab og drift af energiøen i Nordsøen, udvidelse af Klagenævnet for Udbuds kompetence og indførelse af bemyndigelsesbestemmelse vedrørende administration af EU’s økonomiske sanktioner over for tredjelande vedrørende offentlige kontrakter).","Om udvidet screening af kontrakter om etablering, medejerskab og drift af energiøen i Nordsøen m.v."
9308,242547,,1,2023-06-02 09:00:00,17,94185,3,L 93,Forslag til barnets lov.,Om barnets lov.
9309,242534,,1,2023-06-02 09:00:00,17,94184,3,L 94,"Forslag til lov om ændring af lov om social service, lov om retssikkerhed og administration på det sociale område og forskellige andre love. (Ændringer som følge af barnets lov, initiativret for adopterede børn, adoption uden samtykke fra fødslen, samvær med børn på kvindekrisecentre m.v. og fasttrack for godkendelse af plejefamilier m.v.).",Om ændringer som følge af barnets lov.
9310,244953,,1,2023-06-02 09:00:00,17,94822,3,L 95,"Forslag til lov om ændring af lov om retssikkerhed og administration på det sociale område, lov om social service og forskellige andre love. (Handlekommune for børn, der hjælpes tilbage til Danmark af danske myndigheder, og for børn, hvis forældre er i udlandet, ensretning af begrebsbrug, nødvendige ændringer i handlekommunereglerne som følge af barnets lov m.v.).","Om handlekommune for børn, der hjælpes tilbage til Danmark af danske myndigheder og for børn, hvis forældre er i udlandet m.v."
9311,244613,,1,2023-06-02 09:00:00,17,94795,3,L 103,"Forslag til lov om ændring af sundhedsloven og lov om autorisation af sundhedspersoner og om sundhedsfaglig virksomhed. (Rammer for en national kvalitetsplan for det nære sundhedsvæsen, smidiggørelse af regler for etablering og drift af regionsklinikker, mulighed for særligt vederlag til læger i områder med lægemangel og regler om fordeling af uddannelsesforløb i speciallægeuddannelsen).

",Om at skabe rammerne for en national kvalitetsplan for den videre kvalitetsudvikling af det nære sundhedsvæsen m.v.
9312,245319,,1,2023-06-02 09:00:00,17,94939,3,L 111,Forslag til lov om ændring af lov om godskørsel. (Gennemførelse af ændring af udlejningsdirektivet).,Om gennemførelse af ændring af udlejningsdirektivet.
9315,245572,,1,2023-06-02 00:00:00,17,95035,3,L 122,Forslag til lov om indfødsrets meddelelse.,Om indfødsrets meddelelse.
9361,248147,,1,2023-11-21 00:00:00,17,96052,3,L 37,Forslag til lov om supplerende bestemmelser til Europa-Parlamentets og Rådets forordning om digitale markeder.,Om supplerende bestemmelser til Europa-Parlamentets og Rådets forordning om digitale markeder.
9362,248121,,1,2023-11-21 00:00:00,17,96050,3,L 38,"Forslag til lov om ændring af lov om realkreditlån og realkreditobligationer, lov om finansiel virksomhed og forskellige andre love. (Realkreditbelåning af havvindmøller, styrkelse af Finanstilsynets tilsynsbeføjelser og dækning af motoransvarsforsikringer hos Garantifonden for skadesforsikringsselskaber m.v.).","Om realkreditbelåning af havvindmøller, styrkelse af Finanstilsynets tilsynsbeføjelser og dækning af motoransvarsforsikringer m.v."
9363,248173,,1,2023-11-21 00:00:00,17,96054,3,L 39,Forslag til lov om kreditservicevirksomheder og kreditkøbere.,Om kreditservicevirksomheder og kreditkøbere.
9364,247978,,1,2023-11-21 00:00:00,17,67748,3,L 41,"Forslag til lov om ændring af lov om midlertidig opholdstilladelse til personer, der i Afghanistan har bistået danske myndigheder m.v. (Forlængelse af Afghanistansærloven).",Om forlængelse af Afghanistansærloven.
9367,247874,,1,2023-11-23 00:00:00,17,67753,3,L 6,"Forslag til lov om ændring af aktiesparekontoloven, aktieavancebeskatningsloven, ligningsloven og forskellige andre love. (Forhøjelse af loftet for indskud på aktiesparekontoen, ændret status for aktier optaget til handel på en multilateral handelsfacilitet, diverse justeringer af reglerne vedrørende investeringsinstitutter, justering af visse indberetningsregler m.v.).",Om justeringer af aktiesparekontoen m.v.
9368,247796,,1,2023-11-23 00:00:00,17,96042,3,L 7,Forslag til lov om gennemførelse af dobbeltbeskatningsoverenskomst mellem Kongeriget Danmark og Den Demokratiske Folkerepublik Algeriet.,Om dobbeltbeskatningsoverenskomst med Den Demokratiske Folkerepublik Algeriet.
9369,247861,,1,2023-11-23 00:00:00,17,67752,3,L 8,"Forslag til lov om ændring af personskatteloven, pensionsbeskatningsloven og forskellige andre love. (Forhøjelse af personfradraget for personer under 18 år og klare regler for bevarelse af lavere pensionsudbetalingsalder m.v.).",Om forhøjelse af personfradraget for personer under 18 år og bevarelse af lavere pensionsudbetalingsalder m.v.
9370,250537,,1,2023-11-23 00:00:00,17,96769,3,L 9 A,"Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige, kildeskatteloven, opkrævningsloven og skatteforvaltningsloven. (Gennemførelse af aftale om initiativer til effektiv opkrævning og gældsinddrivelse i skattevæsenet m.v.).",Om gennemførelse af aftale om initiativer til effektiv opkrævning og gældsinddrivelse i skattevæsenet m.v.
9371,250541,,1,2023-11-23 00:00:00,17,96770,3,L 9 B,Forslag til lov om ændring af lov om inddrivelse af gæld til det offentlige. (Tværgående lønindeholdelse for fordringer fra flere inddrivelsessystemer m.v.).,Om tværgående lønindeholdelse for fordringer fra flere inddrivelsessystemer m.v.
9372,247965,,1,2023-11-23 00:00:00,17,67756,3,L 10,Forslag til lov om ændring af udleveringsloven. (Ændring af kompetencen i sager vedrørende anmodning om samtykke til yderligere strafforfølgning).,Om ændring af kompetencen i sager vedrørende anmodning om samtykke til yderligere strafforfølgning.
9373,248017,,1,2023-11-23 10:00:00,17,67760,3,L 29,Forslag til lov om ændring af lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v. og lov om institutioner for erhvervsrettet uddannelse. (Afskaffelse af forældreindkomst som kriterium for elevfordeling m.v.).,Om afskaffelse af forældreindkomst som kriterium for elevfordeling m.v.
9381,248160,,1,2023-11-28 00:00:00,17,96053,3,L 49,Forslag til lov om ændring af byggeloven. (Undtagelse fra kundgørelse af tekniske specifikationer i Lovtidende m.v.).,Om undtagelse fra kundgørelse af tekniske specifikationer i Lovtidende m.v.
9382,247757,,1,2023-11-28 00:00:00,17,96039,3,L 42,"Forslag til lov om ændring af lov om hold af dyr, dyrevelfærdsloven, lov om dyrlæger, lov om dyreforsøg og lov om foderstoffer. (Indarbejdelse af tekstanmærkninger og delegation af sagsforberedelse til private fysiske eller juridiske personer).","Om indarbejdelse af tekstanmærkninger på Ministeriet for Fødevarer, Landbrug og Fiskeris område m.v."
9383,247770,,1,2023-11-28 00:00:00,17,96040,3,L 43,Forslag til lov om ændring af lov om dyrlæger. (Ændringer som følge af etablering af veterinæruddannelse ved Aarhus Universitet).,Om ændringer som følge af etablering af veterinæruddannelse ved Aarhus Universitet.
9384,247822,,1,2023-11-28 00:00:00,17,67754,3,L 44,"Forslag til lov om ændring af sundhedsloven. (Bedre digital forældreadgang til børns helbredsoplysninger, indhentning og videregivelse af helbredsoplysninger og andre fortrolige oplysninger og etablering af et nævn for sundhedsapps).",Om bedre digital forældreadgang til børns helbredsoplysninger m.v.
9390,247591,,1,2023-11-30 00:00:00,17,96026,3,L 24,"Forslag til lov om ændring af lov om en indefrysningsordning for høje energiregninger, lov om likviditetslån m.v. i forbindelse med indefrysningsordning for høje energiregninger og til energiintensive virksomheder m.v. og lov om Forsyningstilsynet. (Ændring af administrationsmodel for indefrysningsordningen og præcisering af Forsyningstilsynets opgavevaretagelse).",Om ændring af administrationsmodel for indefrysningsordningen og præcisering af Forsyningstilsynets opgavevaretagelse.
9391,247565,,1,2023-11-30 00:00:00,17,96024,3,L 25,Forslag til lov om ændring af lov om udstykning og anden registrering i matriklen og lov om tinglysning. (Gennemførelse af de resterende dele af grunddataprogrammets delaftale 1 og tilpasninger i forhold til Danmarks eksklusive økonomiske zone).,Om gennemførelse af de resterende dele af Grunddataprogrammets delaftale 1 m.v.
9392,247578,,1,2023-11-30 00:00:00,17,96025,3,L 26,"Forslag til lov om ændring af lov om radioudstyr og elektromagnetiske forhold, lov om elektroniske kommunikationsnet og -tjenester, lov om etablering og fælles udnyttelse af master til radiokommunikationsformål og udnyttelse af infrastruktur til opsætning af trådløse adgangspunkter med lille rækkevidde m.v. og lov om fremme af effektiv energianvendelse og drivhusgasreduktion. (Universalopladere til mobiltelefoner m.v., regler om kommunal støtte til bredbåndsudrulning, indhentning af oplysninger om elforbrug og indberetning af oplysninger om datacentres energimæssige ydeevne m.v.).",Om universalopladere til mobiltelefoner og regler om kommunal støtte til bredbåndsudrulning m.v.
9393,247630,,1,2023-11-30 00:00:00,17,96029,3,L 33,"Forslag til lov om ændring af lov om MitID og NemLog-in. (Ret til anvendelse af MitID-løsningen og NemLog-in til autentifikation i interne it-systemer og mulighed for tilslutning til MitID-løsningen for juridiske enheder, som er registreret i et andet EU-/EØS-land).",Om anvendelse af MitID og NemLog-in til autentifikation m.v.
9394,247604,,1,2023-11-30 00:00:00,17,96027,3,L 35,Forslag til lov om ændring af lov om videregående uddannelse (videreuddannelsessystemet) for voksne. (Ændring af ordning for certificering af uddannelseselementer som led i en offentlig lederuddannelse på diplomniveau).,Om ændring af ordning for certificering af uddannelseselementer som led i en offentlig lederuddannelse på diplomniveau.
9395,247744,,1,2023-11-30 00:00:00,17,96038,3,L 15,Forslag til lov om ændring af taxiloven. (Mulighed for at undtage visse øer fra lovens anvendelsesområde).,Om mulighed for at undtage visse øer fra taxilovens anvendelsesområde.
9396,247718,,1,2023-11-30 00:00:00,17,96036,3,L 16,"Forslag til lov om ændring af lov om private fællesveje, lov om letbane på Ring 3 og lov om anlæg af en ny Storstrømsbro og nedrivning af den eksisterende Storstrømsbro. (Etablering af en tilladelsesordning for ledninger, kabler og tilbehør i private fællesveje på landet og tilpasning af visse anlægslove til VVM-direktivet og naturbeskyttelsesdirektiverne).","Om etablering af en tilladelsesordning for ledninger, kabler og tilbehør i private fællesveje på landet og tilpasning af visse anlægslove til VVM-direktivet og naturbeskyttelsesdirektiverne."
9397,247705,,1,2023-11-30 00:00:00,17,96035,3,L 17,"Forslag til lov om udbygning af motorvej E20/E45 ved Kolding, anlæg af Kalundborgmotorvejens tredje etape og udbygning af rute 15, Ringkøbing-Herning.","Om udbygning af motorvej E20/E45 ved Kolding, anlæg af Kalundborgmotorvejens tredje etape og udbygning af rute 15, Ringkøbing-Herning."
9398,247692,,1,2023-11-30 00:00:00,17,96034,3,L 18,Forslag til lov om ændring af færdselsloven. (Forsøg med dobbelttrailervogntog).,Om forsøg med dobbelttrailervogntog.
9399,247731,,1,2023-11-30 00:00:00,17,96037,3,L 19,"Forslag til lov om rammerne for arealanvendelsen i Københavns Lufthavn, Kastrup.","Om  rammerne for arealanvendelsen i Københavns Lufthavn, Kastrup."
9400,247656,,1,2023-11-30 00:00:00,17,96031,3,L 20,"Forslag til lov om ændring af lov om luftfart. (Luftfartøjers adgang til luftfart inden for dansk område, delegation til private af visse opgaver på droneområdet og ændring af rammerne for Havarikommissionen for Civil Luftfart og Jernbanes undersøgelser m.v.).",Om luftfartøjers adgang til luftfart inden for dansk område m.v.
9401,247643,,1,2023-11-30 00:00:00,17,96030,3,L 21,Forslag til lov om ændring af lov om trafikselskaber. (10-årige rutekørselstilladelser til nulemissionsbusser).,Om 10-årige rutekørselstilladelser til nulemissionsbusser.
9402,247679,,1,2023-11-30 00:00:00,17,96033,3,L 22,"Forslag til lov om ændring af postloven, lov om Post Danmark A/S og lov om Det Centrale Personregister. (Rammer for den fremtidige postbefordring).",Om rammer for den fremtidige postbefordring.
9403,248958,,1,2023-11-30 00:00:00,17,96357,3,L 54,"Forslag til lov om ændring af lov om Arbejdsmarkedets Tillægspension og forskellige andre love. (Fælles opkrævning af arbejdsgiverbidrag, udvidet bemyndigelse til at fastsætte regler om modregningsadgang, nationale særregler for behandling af personoplysninger m.v.).",Om en forenkling af opkrævning af ATP-bidrag m.v.
9404,248095,,1,2023-11-30 00:00:00,17,96048,3,L 27,Forslag til lov om behandlings- og specialundervisningstilbud til børn og unge.,Om  behandlings- og specialundervisningstilbud til børn og unge.
9405,248056,,1,2023-11-30 00:00:00,17,96045,3,L 28,"Forslag til lov om ændring af lov om folkeskolen, barnets lov, lov om socialtilsyn og forskellige andre love. (Styrkelse af undervisningen for anbragte og udsatte børn og unge m.v.).",Om styrkelse af undervisningen for anbragte og udsatte børn og unge m.v.
9406,248004,,1,2023-11-30 00:00:00,17,67758,3,L 30,Forslag til lov om ændring af dagtilbudsloven. (Bedre mulighed for udsat skolestart).,Om bedre mulighed for udsat skolestart.
9407,247991,,1,2023-11-30 00:00:00,17,67757,3,L 31,Forslag til lov om ændring af lov om folkeskolen. (Sænkelse af klasseloftet i børnehaveklassen og på 1. og 2. klassetrin).,Om sænkelse af klasseloftet i børnehaveklassen og på 1. og 2. klassetrin.
9408,248069,,1,2023-11-30 00:00:00,17,96046,3,L 32,"Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag og lov om erhvervsuddannelser. (Justering af fleksibelt uddannelsesbidrag og aktivitetsafhængigt veu-bidrag for 2024, fastsættelse af modelparametre for erhvervsuddannelser til brug for beregning af lærepladsafhængigt arbejdsgiverbidrag for 2024, afskaffelse af færdiggørelsestaxameter på grundforløbet m.v.).",Om justering af fleksibelt uddannelsesbidrag og aktivitetsafhængigt veu-bidrag for 2024 m.v.
9434,247835,,1,2023-12-07 00:00:00,17,67751,3,L 5,Forslag til lov om en ekstraskat for visse koncernenheder (minimumsbeskatningsloven).,Om en ekstraskat for visse koncernenheder. 
9436,247952,,1,2023-12-07 00:00:00,17,67755,3,L 40,"Forslag til lov om ændring af udlændingeloven, lov om midlertidig opholdstilladelse til personer, der er fordrevet fra Ukraine, og hjemrejseloven. (Styrkelse af udlændingemyndighedernes og politiets værktøjer til kontrol af udlændinges indrejse og ophold i Danmark).",Om styrkelse af udlændingemyndighedernes og politiets værktøjer til kontrol af udlændinges indrejse og ophold i Danmark.
9437,248108,,1,2023-12-07 00:00:00,17,96049,3,L 23,Forslag til lov om ændring af lov om arbejdsskadesikring og forskellige andre love. (Et forbedret arbejdsskadesystem og lettere adgang til erstatning i forbindelse med vold på arbejdspladsen).,Om et forbedret arbejdsskadesystem og lettere adgang til erstatning i forbindelse med vold på arbejdspladsen.
9438,249224,,1,2023-12-07 00:00:00,17,96449,3,L 67,"Forslag til lov om ændring af lov om arbejdsmiljø, lov om
arbejdsskadesikring og udlændingeloven. (Udmøntning af dele af aftale om en fremtidssikret arbejdsmiljøindsats og indsats mod social dumping, aftale om initiativer på asbestområdet og anbefalinger fra det midlertidige AMO-udvalg m.v.).",Om udmøntning af dele af aftale om fremtidssikret arbejdsmiljøindsats og indsats mod social dumping og aftale om initiativer på asbestområdet m.v.
9439,249250,,1,2023-12-07 00:00:00,17,96451,3,L 69,Forslag til lov om ændring af lov om ferie og lov om forvaltning og administration af tilgodehavende feriemidler. (Genindførelse af bagatelgrænser for udbetaling af uhævede feriepenge m.v.).,Om genindførelse af bagatelgrænser for udbetaling af uhævede feriepenge m.v.
9440,251020,,1,2023-12-07 00:00:00,17,96960,3,L 63 A,Forslag til lov om ændring af lov om frikommunenetværk. (Forlængelse af udvalgte forsøgsmuligheder m.v. i frikommuneforsøg II).,Om forlængelse af udvalgte forsøgsmuligheder m.v. i frikommuneforsøg II.
9441,251024,,1,2023-12-07 00:00:00,17,96959,3,L 63 B,Forslag til lov om ændring af barnets lov og lov om Arbejdsmarkedets Tillægspension. (Rettelse af fejl i regler om underretningspligten og satser m.v. i barnets lov og ændring af visse bemyndigelsesbestemmelser i lov om Arbejdsmarkedets Tillægspension).,Om rettelse af fejl i regler om underretningspligten og satser m.v. i barnets lov og ændring af visse bemyndigelsesbestemmelser i lov om Arbejdsmarkedets Tillægspension.
9442,247617,,1,2023-12-07 00:00:00,17,96028,3,L 34,Forslag til lov om ændring af lov om ændring af SU-loven. (Forlængelse af midlertidig suspension af SU-godkendelse af hele uddannelser i visse lande).,Om forlængelse af midlertidig suspension af SU-godkendelse af hele uddannelser i visse lande.
9443,248043,,1,2023-12-07 00:00:00,17,67763,3,L 11,Forslag til lov om ændring af lov om erstatning fra staten til ofre for forbrydelser. (Retskrav på erstatning og godtgørelse til ofre for terrorhandlinger begået i udlandet).,Om retskrav på erstatning og godtgørelse til ofre for terrorhandlinger begået i udlandet.
9444,247926,,1,2023-12-07 00:00:00,17,67764,3,L 12,Forslag til lov om ændring af lov om fuldbyrdelse af straf m.v. (Afskæring af voldtægtsdømte personers mulighed for at afsone med fodlænke).,Om afskæring af voldtægtsdømte personers mulighed for at afsone med fodlænke.
9445,248573,,1,2023-12-07 00:00:00,17,96201,3,L 51,"Forslag til lov om ændring af selskabsloven, lov om skifte af dødsboer, værgemålsloven, retsplejeloven og forskellige andre love. (Digital behandling af tvangsopløsningssager og dødsboskiftesager, øget antal byretsdommere, anerkendelse af juridiske eksamener fra Det Forenede Kongerige Storbritannien og Nordirland, terminaladgang til indkomstregisteret for Familieretshuset i værgemålssager m.v.).",Om digital behandling af tvangsopløsningssager og dødsboskiftesager m.v.
9448,248691,,1,2023-12-07 00:00:00,17,96255,3,L 65,Forslag til lov om ændring af straffeloven. (Forbud mod utilbørlig behandling af skrifter med væsentlig religiøs betydning for et anerkendt trossamfund).,Om forbud mod utilbørlig behandling af skrifter med væsentlig religiøs betydning for et anerkendt trossamfund.
