afstemningid,sagstrinid,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_titel_en
2472,58286,1,2015-02-19 10:00:00,17,21606,3,L 85,"Forslag til lov om ændring af lov om råstoffer, lov om kystbeskyttelse og lov om havstrategi. (Ændringer af auktionsordningen og andre regler om indvinding af råstoffer på havet som følge af regeringens konkurrencepolitiske udspil og evaluering af råstofloven, ændringer som følge af overførelse af kystbeskyttelsesloven til Miljøministeriet og præcisering af gennemførelse af havstrategirammedirektivet m.v.).",Om råstofindvinding m.v.,"Proposal for a law amending the law on raw materials, the law on coastal protection and the law on marine strategy. (Amendments to the auction scheme and other rules on the recovery of raw materials at sea as a result of the Government's competition policy proposals and evaluation of the law on raw materials, amendments resulting from the transfer of the coastal protection law to the Ministry of the Environment and clarification of the implementation of the Marine Strategy Framework Directive, etc.)."
2473,58834,1,2015-02-19 10:00:00,17,21793,3,L 94,"Forslag til lov om ændring af lov om planlægning og lov om naturbeskyttelse. (Opfølgning på dele af Naturplan Danmark om etablering af et Grønt Danmarkskort, forbud mod gødskning og sprøjtning på § 3-beskyttede arealer og indførelse af et vejledende bødeniveau for overtrædelse af naturbeskyttelsesloven m.v.).",Om opfølgning på dele af Naturplan Danmark m.v.,"Proposal for a law amending the law on planning and the law on nature conservation. (Follow-up to parts of the Nature Plan Denmark on the establishment of a Green Denmark Card, ban on fertilising and spraying on § 3 protected areas and introduction of an indicative level of fines for infringement of the Nature Conservation Act, etc.)."
2474,59201,1,2015-02-19 10:00:00,17,21859,3,L 102,Forslag til lov om ændring af lov om udstationering af lønmodtagere m.v. (Forhøjelse af straffen for overtrædelser af grovere karakter af anmeldelsespligten til Register for Udenlandske Tjenesteydere).,Om Register for Udenlandske Tjenesteydere.,"Proposal for a law amending the law on the posting of employees, etc. (Encourage of penalties for grosser offences of the obligation to notify the Register of Foreign Service Providers)."
2475,59227,1,2015-02-19 10:00:00,17,21861,3,L 111,Forslag til lov om kontantydelse.,Om kontantydelse.,Draft law on cash benefits.
2481,59214,1,2015-02-26 10:00:00,17,21860,3,L 101,"Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Forsøg vedrørende fradrag for frivilligt, ulønnet arbejde).","Om forsøg vedrørende fradrag for frivilligt, ulønnet arbejde.","Proposal for a law amending the law on unemployment insurance, etc. (Experiments on the deduction of voluntary unpaid work)."
2482,59095,1,2015-02-26 10:00:00,17,21850,3,L 98,"Forslag til lov om ændring af kildeskatteloven, kursgevinstloven, selskabsskatteloven, virksomhedsskatteloven og forskellige andre love. (Exitskat og henstand for fysiske personer, gennemførelse af ændring af moder-/datterselskabsdirektivet, justering af rentefradragsbegrænsningsreglerne og opgørelsesprincipper for fordringer og gæld m.v.). ",Om harmonisering af reglerne for exitbeskatning m.v.,"Draft law amending the withholding tax law, the exchange gains law, the corporation tax law, the corporate tax law and various other laws. (Exit tax and deferred tax for natural persons, implementation of amendments to the parent/subsidiary directive, adjustment of the interest relief rules and statement principles for claims and debts, etc.)."
2483,58861,1,2015-02-26 10:00:00,17,21796,3,L 89,Forslag til lov om ændring af lov om planlægning og lov om almene boliger m.v. (Blandet boligsammensætning).,Om blandet boligsammensætning.,"Draft law amending the law on planning and the law on general housing, etc. (Bland housing composition)."
2485,59667,1,2015-02-26 10:00:00,17,21982,3,L 108,Forslag til lov om ændring af lov om almene boliger m.v. (Støtte til nedrivning af hele boligafdelinger).,Om nedrivning af hele afdelinger.,"Proposal for a law amending the law on general housing, etc. (Support for the demolition of entire housing departments)."
2486,59682,1,2015-02-26 10:00:00,17,21984,3,L 109,Forslag til lov om ændring af lov om almene boliger m.v. (Sociale klausuler om uddannelses- og praktikaftaler).,Om sociale klausuler om uddannelses- og praktikaftaler.,"Proposal for a law amending the law on general housing, etc. (Social clauses on training and practical arrangements)."
2491,59710,1,2015-03-10 13:00:00,17,21986,3,L 113,Forslag til lov om tillægsbevilling for 2014.,Om tillægsbevillingsloven for 2014.,Draft law on the additional allocation for 2014.
2495,58900,1,2015-03-17 13:00:00,17,21799,3,L 95,"Forslag til lov om ændring af udlændingeloven. (Styrkede kontrolmuligheder i grænseområder og lufthavne og skærpelse af bødeniveau for udlændinges ulovlige indrejse, ophold og arbejde).",Om styrkede kontrolmuligheder i grænseområder og lufthavne m.v.,Proposal for a law amending the law on aliens.
2496,59188,1,2015-03-19 10:00:00,17,21858,3,L 96,Forslag til lov om ændring af lov om ændring af lov om folkekirkens økonomi. (Ophævelse af revisionsklausul).,Om ophævelse af revisionsklausul.,Draft law amending the Law amending the Law on the National Church's Economy.
2497,59149,1,2015-03-19 10:00:00,17,21855,3,L 103,Forslag til lov om ændring af forældreansvarsloven og retsplejeloven. (Imødegåelse af samarbejdschikane m.v.).,Om at imødegå samarbejdschikane i sager om forældreansvar m.v.,Proposal for a law amending the Parental Responsibility Act and the Code of Criminal Procedure.
2498,58273,1,2015-03-19 10:00:00,17,21605,3,L 82,Forslag til lov om ændring af lov om leje af erhvervslokaler m.v. (Fremme af energirenovering i erhvervslejemål).,Om fremme af energirenovering i erhvervslejemål.,"Proposal for a law amending the law on the rental of commercial premises, etc. (Promotion of energy renovation in commercial leases)."
2499,58887,1,2015-03-19 10:00:00,17,21798,3,L 90,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU), lov om en aktiv beskæftigelsesindsats, ligningsloven og lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v. (Forenkling af ordningen vedrørende statens voksenuddannelsesstøtte).",Om forenkling af ordningen vedrørende statens voksenuddannelsesstøtte.,"Proposal for a law amending the Law on State Adult Training Support (SFU), Act on Active Employment Efforts, Equalisation Act and Law on Institutions for General Secondary Education and Adult Education, etc. (Simplification of the State Adult Training Support Scheme)."
2500,58874,1,2015-03-19 10:00:00,17,21797,3,L 91,Forslag til lov om ændring af lov om akkreditering af videregående uddannelsesinstitutioner. (Ingen prækvalifikation af nye uddannelser ved sammenlægning af eksisterende uddannelser).,Om at fravige kravet om prækvalifikation ved sammenlægning af flere eksisterende uddannelser.,Proposal for a law amending the law on the accreditation of higher education institutions.
2501,60709,1,2015-03-19 10:00:00,17,22149,3,L 123,"Forslag til lov om ændring af momsloven. (Importmoms på dansksprogede magasiner, tidsskrifter og lign. sendt fra lande uden for EU og bemyndigelse til lempelse og fritagelse vedrørende faktureringspligt).",Om importmoms på dansksprogede magasiner m.v.,"Proposal for a law amending the VAT Act. (Import VAT in Danish-language magazines, magazines and the like sent from outside the EU and authorisation for relief and exemption in respect of invoicing obligations)."
2503,58847,1,2015-03-24 13:00:00,17,21794,3,L 92,"Forslag til lov om ændring af varemærkeloven, designloven, patentloven og lov om brugsmodeller. (Styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.).",Om en styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.,"Proposal for a law amending the Trademark Act, the Design Act, the Patent Act and the law on utility models. (Strengthened action against piracy by setting up an enforcement unit, etc.)."
2504,59899,1,2015-03-24 13:00:00,17,22037,3,L 114,Forslag til lov om ændring af lov om finansiel virksomhed. (Gennemførelse af solvens II- og omnibus II-direktivet).,Om gennemførelse af solvens II- og omnibus II-direktivet.,Proposal for a law amending the Law on Financial Activities (Implementation of the Solvency II and Omnibus II Directive).
2511,58563,1,2015-03-26 10:00:00,17,21706,3,L 87,Forslag til lov om ændring af udlændingeloven. (Statsforvaltningens underretning af kommunerne ved udstedelse af registreringsbeviser og opholdskort efter EU-reglerne samt justering af boligkravet m.v.).,Om statsforvaltningens underretning af kommunerne ved udstedelse af registreringsbeviser og opholdskort m.v.,"Proposal for a law amending the law on aliens. (Informing the municipalities by the State Administration by issuing registration certificates and residence cards under EU rules and adjusting the housing requirement, etc.)."
2512,59136,1,2015-03-26 10:00:00,17,21854,3,L 100,Forslag til lov om restrukturering og afvikling af visse finansielle virksomheder.,Om restrukturering og afvikling af visse finansielle virksomheder.,Proposal for a law on the restructuring and winding-up of certain financial undertakings.
2513,59123,1,2015-03-26 10:00:00,17,21853,3,L 105,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om finansiel stabilitet, lov om en garantifond for indskydere og investorer, lov om værdipapirhandel m.v. og ligningsloven. (Gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber (BRRD) og direktiv om indskudsgarantiordninger (DGSD)).",Om gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber og om indskudsgarantiordninger.,"Proposal for a law amending the Law on Financial Activities, the Law on Financial Stability, the Law on a Guarantee Fund for Depositors and Investors, the Law on Securities Trading, etc., and the Equalisation Act. (Implementation of the Directive on the Recovery and Settlement of Credit Institutions and Investment Companies (BRRD) and the Directive on Deposit Guarantee Schemes (DGSD))."
2515,60784,1,2015-04-07 13:00:00,17,22155,3,L 116,"Forslag til lov om ændring af lov om anvendelse af Danmarks undergrund. (Gennemførelse af offshoresikkerhedsdirektivet, subsidiært ansvar for afvikling af anlæg, plan for afvikling af anlæg, sikkerhedsstillelse, forlængelse af geotermitilladelser, beredskab for forsyningsmæssige forhold, forsikring, digital kommunikation m.v.).",Om gennemførelse af resterende del af offshoresikkerhedsdirektivet m.v.,"Proposal for a law amending the Law on the Use of Denmark's Underground. (Implementation of the offshore safety directive, subsidiary responsibility for the decommissioning of installations, plan for the decommissioning of installations, collateralisation, extension of geothermal permits, preparedness for supply, insurance, digital communications, etc.)."
2518,60669,1,2015-04-14 13:00:00,17,22145,3,L 125,Forslag til lov om ændring af lov om dansk indfødsret. (Overgang til obligatorisk digital selvbetjening ved ansøgning om dansk indfødsret ved naturalisation m.v.).,Om overgang til obligatorisk digital selvbetjening ved ansøgning om dansk indfødsret ved naturalisation m.v.,"Draft law amending the law on Danish citizenship. (Translation to compulsory digital self-service by application for Danish citizenship by naturalisation, etc.)."
2523,59628,1,2015-04-16 10:00:00,17,21979,3,L 110,Forslag til lov om ændring af lov om fremme af dopingfri idræt og ligningsloven. (Bekæmpelse af manipulation af idrætskonkurrencer).,Om bekæmpelse af manipulation af idrætskonkurrencer.,Proposal for a law amending the law on the promotion of drug-free sport and the law on equations.
2524,60682,1,2015-04-16 10:00:00,17,22146,3,L 131,Forslag til lov om ændring af lov om maritime uddannelser og lov om vurdering af udenlandske uddannelseskvalifikationer m.v. (Harmonisering af visse regler for de maritime uddannelser).,Om harmonisering af visse regler for de maritime uddannelser.,"Proposal for a law amending the Law on Maritime Training and the Law on the Assessment of Foreign Educational Qualifications, etc. (Harmonisation of certain rules governing maritime training)."
2525,57586,1,2015-04-16 10:00:00,17,21431,3,L 67,Forslag til lov om ændring af lov om en rejsegarantifond. (Dækning af tab ved køb af flyrejser i tilfælde af rejseudbyderens konkurs m.v.).,Om dækning af tab ved køb af flyrejser i tilfælde af rejseudbyderens konkurs m.v.,"Proposal for a law amending the law on a travel guarantee fund (Crediting of losses in the purchase of flights in the event of bankruptcy of the travel provider, etc.)."
2527,60810,1,2015-04-16 10:00:00,17,22157,3,L 119,"Forslag til lov om sikkerhed ved elektriske anlæg, elektriske installationer og elektrisk materiel (elsikkerhedsloven).",Om elsikkerhedsloven.,"Proposal for a law on the safety of electrical installations, electrical installations and electrical equipment (the Electricity Safety Act)."
